,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_ALT_RESP,EXP_JOB_CLASS_FUNCTION,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,MISC_COURSE_DETAILS,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,ADDTL_LIC,EXAM_TYPE,ENTRY_SALARY_GEN,ENTRY_SALARY_DWP,OPEN_DATE,REQUIREMENT_SET_TEXT,REQUIREMENT_SUBSET_TEXT,REQUIREMENT_CONJUNCTION
110,ASPHALT PLANT SUPERVISOR 4145 110317.txt,Asphalt Plant Supervisor,4145,1,-,An Asphalt Plant Supervisor supervises the operation and maintenance of a municipal asphalt plant.,-,-,-,4.0,full time,Asphalt Plant Operator,"provides experience in operating and maintaining asphalt plant equipment, including the preparation of bituminous mixes;",-,-,-,-,-,R,-,-,OPEN_INT_PROM,"$72,767 to $103,564",-,11-03-17,"Four years of full-time paid experience with the City of Los Angeles as an Asphalt Plant Operator or in a class at that level, which provides experience in operating and maintaining asphalt plant equipment, including the preparation of bituminous mixes; or",-,or
111,ASPHALT PLANT SUPERVISOR 4145 110317.txt,Asphalt Plant Supervisor,4145,2,-,An Asphalt Plant Supervisor supervises the operation and maintenance of a municipal asphalt plant.,-,-,-,5.0,full time,-,-,"operating and maintaining asphalt plant equipment, including the preparation of bituminous mixes, in an asphalt plant or oil refinery.",-,-,-,-,R,-,-,OPEN_INT_PROM,"$72,767 to $103,564",-,11-03-17,"Five years of full-time paid experience operating and maintaining asphalt plant equipment, including the preparation of bituminous mixes, in an asphalt plant or oil refinery.",-,-
112,ASSISTANT AIRPORT MANAGER 7259 012618.txt,Assistant Airport Manager,7259,1,-,"Under the direction of a Deputy Executive Director or an Airport Manager, directs a staff of management, professional, technical, and/or supervisory construction and maintenance personnel engaged in a wide range of airport operations, maintenance, construction, project management or special programs and performs other duties related to airport landside and airfield management; directs staff that are engaged in enforcing airport ground policies, procedures and airport regulations; has supervisory responsibilities for construction activities on the airfield and in terminals; develops and periodically updates airport standard operating procedures and refine protocols; provides legislative, strategic planning, traveling public and airport tenant support activities at Los Angeles World Airports (LAWA); advises LAWA management and represents the department on various airport related matters; personally performs, or performs through subordinate supervisors, the more difficult work; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",-,-,-,4.0,full time,Senior Management Analyst,-,"performing duties in the following areas: airport and maintenance operations; landside and airfield operations; construction; project management; human resources management; public and/or community relations programs; financial, budgetary, procurement compliance, or contract management airport and commercial development matters,",-,-,-,-,R,-,-,OPEN_INT_PROM,"$106,404 to $155,556",-,01-26-18,"Four years of full-time paid experience with LAWA in a class at the level of Senior Management Analyst performing duties in the following areas: airport and maintenance operations; landside and airfield operations; construction; project management; human resources management; public and/or community relations programs; financial, budgetary, procurement compliance, or contract management; or airport and commercial development matters, or",-,or
113,ASSISTANT AIRPORT MANAGER 7259 012618.txt,Assistant Airport Manager,7259,2,-,"Under the direction of a Deputy Executive Director or an Airport Manager, directs a staff of management, professional, technical, and/or supervisory construction and maintenance personnel engaged in a wide range of airport operations, maintenance, construction, project management or special programs and performs other duties related to airport landside and airfield management; directs staff that are engaged in enforcing airport ground policies, procedures and airport regulations; has supervisory responsibilities for construction activities on the airfield and in terminals; develops and periodically updates airport standard operating procedures and refine protocols; provides legislative, strategic planning, traveling public and airport tenant support activities at Los Angeles World Airports (LAWA); advises LAWA management and represents the department on various airport related matters; personally performs, or performs through subordinate supervisors, the more difficult work; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",4.0,college or university,"Public Administration, Business Administration, Aviation Management, Airport Administration",4.0,full time,Second-Level Supervisor,-,performing the above stated duties at a medium or large hub commercial airport,-,-,-,-,R,-,-,OPEN_INT_PROM,"$106,404 to $155,556",-,01-26-18,"For qualifying experience gained outside of the City of Los Angeles, a four-year degree from an accredited college or university in Public Administration, Business Administration, Aviation Management, Airport Administration or related subject and four years of full-time paid professional experience as a second-level supervisor performing the above stated duties at a medium or large hub commercial airport (as defined by the Federal Aviation Administration).",-,-
114,ASSISTANT COMMUNICATIONS CABLE WORKER 3808 080417 REVISED 081717.txt,Assistant Communications Cable Worker,3808,1,-,"An Assistant Communications Cable Worker assists in the installation, splicing, termination, maintenance, changing, removal, location of trouble, and repair of overhead, underground, and inside plant fiber optic and paired copper communications cables, lines, and appurtenant equipment including telephone, data, alarm, carrier, telemetry, and control circuits contained within these cables and lines; and works independently on routine tasks.",-,-,-,1.0,full time,-,-,-,-,-,-,-,R,B,-,INT_DEPT_PROM,"$52,096 to $74,103","$71,326 to $88,593",08-04-17,"One year of full-time paid experience as a helper in the installation, maintenance, or repair of communication, control, or power cable facilities; or",-,or
115,ASSISTANT COMMUNICATIONS CABLE WORKER 3808 080417 REVISED 081717.txt,Assistant Communications Cable Worker,3808,2,-,"An Assistant Communications Cable Worker assists in the installation, splicing, termination, maintenance, changing, removal, location of trouble, and repair of overhead, underground, and inside plant fiber optic and paired copper communications cables, lines, and appurtenant equipment including telephone, data, alarm, carrier, telemetry, and control circuits contained within these cables and lines; and works independently on routine tasks.",-,trade school|college,-,-,-,-,-,-,-,-,-,-,R,B,-,INT_DEPT_PROM,"$52,096 to $74,103","$71,326 to $88,593",08-04-17,Completion of a certificate program in cable installation and maintenance from an accredited college or trade school; or,-,or
116,ASSISTANT COMMUNICATIONS CABLE WORKER 3808 080417 REVISED 081717.txt,Assistant Communications Cable Worker,3808,3,-,"An Assistant Communications Cable Worker assists in the installation, splicing, termination, maintenance, changing, removal, location of trouble, and repair of overhead, underground, and inside plant fiber optic and paired copper communications cables, lines, and appurtenant equipment including telephone, data, alarm, carrier, telemetry, and control circuits contained within these cables and lines; and works independently on routine tasks.",-,trade school|college,-,-,-,-,-,-,-,"12.0S,18.0Q",electronics and/or telecommunications,-,R,B,-,INT_DEPT_PROM,"$52,096 to $74,103","$71,326 to $88,593",08-04-17,Completion of 12 semester units or 18 quarter units in electronics and/or telecommunications from an accredited college or trade school.,-,-
117,ASSISTANT COMMUNICATIONS ELECTRICIAN 3684 090916.txt,Assistant Communications Electrician,3684,1,-,"An Assistant Communications Electrician assists in installing, constructing, repairing, maintaining, or modifying electronic communications equipment or systems; and fabricates chassis, control panels, cabinets, brackets, and mounting devices.",-,-,-,2.0,full time,-,-,"experience in the installation, construction, repair, operation, or maintenance of electronic communications equipment",-,-,-,-,P,-,-,OPEN,"$70,094",-,09-09-16,"Two years of full-time paid experience in the installation, construction, repair, operation, or maintenance of electronic communications equipment; or",-,or
118,ASSISTANT COMMUNICATIONS ELECTRICIAN 3684 090916.txt,Assistant Communications Electrician,3684,2,a,"An Assistant Communications Electrician assists in installing, constructing, repairing, maintaining, or modifying electronic communications equipment or systems; and fabricates chassis, control panels, cabinets, brackets, and mounting devices.",-,trade school|college,-,-,-,-,-,-,-,-,-,-,P,-,-,OPEN,"$70,094",-,09-09-16,Successful completion of:,A two-year program in electronics from an accredited college or trade school; or,or
119,ASSISTANT COMMUNICATIONS ELECTRICIAN 3684 090916.txt,Assistant Communications Electrician,3684,2,b,"An Assistant Communications Electrician assists in installing, constructing, repairing, maintaining, or modifying electronic communications equipment or systems; and fabricates chassis, control panels, cabinets, brackets, and mounting devices.",-,trade school|college,-,-,-,-,-,-,-,"30.0S,45.0Q",an electronics field of concentration,-,P,-,-,OPEN,"$70,094",-,09-09-16,Successful completion of:,30 semester or 45 quarter units in an electronics field of concentration from an accredited college or trade school; or,or
120,ASSISTANT COMMUNICATIONS ELECTRICIAN 3684 090916.txt,Assistant Communications Electrician,3684,2,c,"An Assistant Communications Electrician assists in installing, constructing, repairing, maintaining, or modifying electronic communications equipment or systems; and fabricates chassis, control panels, cabinets, brackets, and mounting devices.",-,-,-,-,-,-,-,-,-,-,-,A military electronics technician course of 24 weeks or longer.,P,-,-,OPEN,"$70,094",-,09-09-16,Successful completion of:,A military electronics technician course of 24 weeks or longer.,-
121,ASSISTANT DEPUTY SUPERINTENDENT OF BUILDING 4219 042817.txt,Assistant Deputy Superintendent Of Building,4219,1,a,"An Assistant Deputy Superintendent of Building plans, organizes and directs or assists in directing the activities of a bureau, division, or district office which is responsible for enforcement of City building, grading, zoning, mechanical, electrical, plumbing, elevator, and pressure vessel ordinances and State mandates such as disabled access and green regulations; the prevention, elimination and correction of hazardous substandard conditions in existing commercial, industrial and residential structures; or the administration of resource management support services. An Assistant Deputy Superintendent of Building also applies sound supervisory principles in the management and monitoring of subordinate supervisors and staff; effectively handles day-to-day operations and urgent matters; continuously enhances operations; fulfills equal employment opportunity responsibilities; and acts in the absence of the Deputy Superintendent of Building.",-,-,-,2.0,full time,Building Civil Engineer,-,building research units,-,-,-,-,P,-,-,INT_DEPT_PROM,"$114,088 to $162,362",-,04-28-17,"Two years of full-time paid experience with the City of Los Angeles in a class at the level of Building Civil Engineer, with responsibility for one or more of the following:",Supervising the operations of plan check or building research units; or,or
122,ASSISTANT DEPUTY SUPERINTENDENT OF BUILDING 4219 042817.txt,Assistant Deputy Superintendent Of Building,4219,1,b,"An Assistant Deputy Superintendent of Building plans, organizes and directs or assists in directing the activities of a bureau, division, or district office which is responsible for enforcement of City building, grading, zoning, mechanical, electrical, plumbing, elevator, and pressure vessel ordinances and State mandates such as disabled access and green regulations; the prevention, elimination and correction of hazardous substandard conditions in existing commercial, industrial and residential structures; or the administration of resource management support services. An Assistant Deputy Superintendent of Building also applies sound supervisory principles in the management and monitoring of subordinate supervisors and staff; effectively handles day-to-day operations and urgent matters; continuously enhances operations; fulfills equal employment opportunity responsibilities; and acts in the absence of the Deputy Superintendent of Building.",-,-,-,2.0,full time,Building Civil Engineer,-,-,-,-,-,-,P,-,-,INT_DEPT_PROM,"$114,088 to $162,362",-,04-28-17,"Two years of full-time paid experience with the City of Los Angeles in a class at the level of Building Civil Engineer, with responsibility for one or more of the following:","Supervising the operations of a grading, geology or soils unit; or",or
123,ASSISTANT DEPUTY SUPERINTENDENT OF BUILDING 4219 042817.txt,Assistant Deputy Superintendent Of Building,4219,2,-,"An Assistant Deputy Superintendent of Building plans, organizes and directs or assists in directing the activities of a bureau, division, or district office which is responsible for enforcement of City building, grading, zoning, mechanical, electrical, plumbing, elevator, and pressure vessel ordinances and State mandates such as disabled access and green regulations; the prevention, elimination and correction of hazardous substandard conditions in existing commercial, industrial and residential structures; or the administration of resource management support services. An Assistant Deputy Superintendent of Building also applies sound supervisory principles in the management and monitoring of subordinate supervisors and staff; effectively handles day-to-day operations and urgent matters; continuously enhances operations; fulfills equal employment opportunity responsibilities; and acts in the absence of the Deputy Superintendent of Building.",-,-,-,3.0,full time,Principal Inspector,-,"following inspection disciplines: building, building mechanical, electrical, plumbing, heating and refrigeration, elevators, pressure vessels, or any combination thereof.",-,-,-,-,P,-,-,INT_DEPT_PROM,"$114,088 to $162,362",-,04-28-17,"Three years of full-time paid experience in a class at the level of Principal Inspector with the City of Los Angeles, Department of Building and Safety, in any of the following inspection disciplines: building, building mechanical, electrical, plumbing, heating and refrigeration, elevators, pressure vessels, or any combination thereof.",-,-
124,ASSISTANT DIRECTOR INFORMATION SYSTEMS 9377 030218.txt,Assistant Director Information Systems,9377,1.,-,"An Assistant Director Information Systems is responsible for directing information services functions, including data, voice and network operating centers; technical services, production control, help desks, voice and data communication networks and telecommunication systems, computer program development, database administration and computer operations; major system implementation projects and adoption of new technologies; and provides overall management and definition of all computer and communication activities.",-,-,-,2.0,full time,"Information Systems Manager, A Director Of Systems","managing a group of employees engaged in systems analysis, design, development or operation of computer based information systems, voice and data communication networks and systems, or implementation of a major business application.",-,-,-,-,-,P,-,-,INT_DEPT_PROM,"$145,199 to $180,382",-,03-02-18,"Two years of full-time paid experience with the City of Los Angeles as an Information Systems Manager, a Director of Systems, or in a class at that level managing a group of employees engaged in systems analysis, design, development or operation of computer based information systems, voice and data communication networks and systems, or implementation of a major business application.",-,-
125,ASSISTANT GARDENER 3142 012017.txt,Assistant Gardener,3142,1,-,"An Assistant Gardener does gardening, landscape construction, and maintenance work in parks, playgrounds, Citywide traffic islands, medians, slopes, grade separations and other landscaped areas.",-,-,-,-,-,Vocational Worker,-,that performs gardening and landscape work,-,-,-,-,P,-,-,OPEN,"$37,813 to $55,332",-,01-20-17,Current employment as a Vocational Worker with the City of Los Angeles assigned to a position that performs gardening and landscape work; and,-,and
126,ASSISTANT GARDENER 3142 012017.txt,Assistant Gardener,3142,2,-,"An Assistant Gardener does gardening, landscape construction, and maintenance work in parks, playgrounds, Citywide traffic islands, medians, slopes, grade separations and other landscaped areas.",-,-,-,-,-,Assistant Gardner,-,-,-,-,-,-,P,-,-,OPEN,"$37,813 to $55,332",-,01-20-17,"A letter of recommendation from the personnel office of the employing department, which includes a statement of the department's wiliness to hire the employee as an Assistant Gardner. The letter must be attached to the application at the time of filing.",-,-
127,ASSISTANT INSPECTOR 4208 111315.txt,Assistant Inspector,4208,1,-,"An Assistant Inspector with the Department of Building and Safety or Housing Department assists inspectors and receives training in the inspection of buildings and structures, plumbing, heating and refrigeration, electrical installations, grading projects; or as an elevator or pressure vessel safety engineer. Assistant Inspectors may be subject to frequent review, written examinations, and supervision, and may perform regular inspector's duties as indicated by training progress; may perform owner and property records research, data input, report generation and field data collection. Assistant Inspectors in the Housing Department may post notices of inspection at multi-family properties and distribute pertinent information regarding housing related issues to the public. Assistant Inspectors in the Department of Public Works assist inspectors and receive training in the inspection of streets, sewers, storm drains, bridges and structures, and in the administration of public works contracts and permits; and may independently make inspections of a limited scope.",-,trade school or university,-,-,-,-,-,-,-,"60.0S,90.0Q",-,-,P,-,-,OPEN,"$44,996 to $47,502",-,11-13-15,"Successful completion of 60 semester or 90 quarter units of coursework from an accredited trade school, college or university; or",-,or
128,ASSISTANT INSPECTOR 4208 111315.txt,Assistant Inspector,4208,2,a,"An Assistant Inspector with the Department of Building and Safety or Housing Department assists inspectors and receives training in the inspection of buildings and structures, plumbing, heating and refrigeration, electrical installations, grading projects; or as an elevator or pressure vessel safety engineer. Assistant Inspectors may be subject to frequent review, written examinations, and supervision, and may perform regular inspector's duties as indicated by training progress; may perform owner and property records research, data input, report generation and field data collection. Assistant Inspectors in the Housing Department may post notices of inspection at multi-family properties and distribute pertinent information regarding housing related issues to the public. Assistant Inspectors in the Department of Public Works assist inspectors and receive training in the inspection of streets, sewers, storm drains, bridges and structures, and in the administration of public works contracts and permits; and may independently make inspections of a limited scope.",-,-,-,2.0,full time,-,-,"experience in any one of the following: Building, civil, or architectural design drafting, surveying or engineering constructi",-,-,-,-,P,-,-,OPEN,"$44,996 to $47,502",-,11-13-15,Two years of full-time paid experience in any one of the following:,"Building, civil, or architectural design drafting, surveying or engineering construction; or",or
129,ASSISTANT INSPECTOR 4208 111315.txt,Assistant Inspector,4208,2,b,"An Assistant Inspector with the Department of Building and Safety or Housing Department assists inspectors and receives training in the inspection of buildings and structures, plumbing, heating and refrigeration, electrical installations, grading projects; or as an elevator or pressure vessel safety engineer. Assistant Inspectors may be subject to frequent review, written examinations, and supervision, and may perform regular inspector's duties as indicated by training progress; may perform owner and property records research, data input, report generation and field data collection. Assistant Inspectors in the Housing Department may post notices of inspection at multi-family properties and distribute pertinent information regarding housing related issues to the public. Assistant Inspectors in the Department of Public Works assist inspectors and receive training in the inspection of streets, sewers, storm drains, bridges and structures, and in the administration of public works contracts and permits; and may independently make inspections of a limited scope.",-,-,-,2.0,full time,-,-,experience in any one of the following: Building or public works inspecti,-,-,-,-,P,-,-,OPEN,"$44,996 to $47,502",-,11-13-15,Two years of full-time paid experience in any one of the following:,Building or public works inspection; or,or
130,ASSISTANT INSPECTOR 4208 111315.txt,Assistant Inspector,4208,2,c,"An Assistant Inspector with the Department of Building and Safety or Housing Department assists inspectors and receives training in the inspection of buildings and structures, plumbing, heating and refrigeration, electrical installations, grading projects; or as an elevator or pressure vessel safety engineer. Assistant Inspectors may be subject to frequent review, written examinations, and supervision, and may perform regular inspector's duties as indicated by training progress; may perform owner and property records research, data input, report generation and field data collection. Assistant Inspectors in the Housing Department may post notices of inspection at multi-family properties and distribute pertinent information regarding housing related issues to the public. Assistant Inspectors in the Department of Public Works assist inspectors and receive training in the inspection of streets, sewers, storm drains, bridges and structures, and in the administration of public works contracts and permits; and may independently make inspections of a limited scope.",-,-,-,2.0,full time,-,-,"experience in any one of the following: Performing at least helper duties in any of the following: carpentry, electrical, heating and refrigeration, plumbing, iron worker, masonry or operating engineering work, inspected public works construction or any combination of these crafts",-,-,-,-,P,-,-,OPEN,"$44,996 to $47,502",-,11-13-15,Two years of full-time paid experience in any one of the following:,"Performing at least helper duties in any of the following: carpentry, electrical, heating and refrigeration, plumbing, iron worker, masonry or operating engineering work, inspected public works construction or any combination of these crafts; or",or
131,ASSISTANT INSPECTOR 4208 111315.txt,Assistant Inspector,4208,2,d,"An Assistant Inspector with the Department of Building and Safety or Housing Department assists inspectors and receives training in the inspection of buildings and structures, plumbing, heating and refrigeration, electrical installations, grading projects; or as an elevator or pressure vessel safety engineer. Assistant Inspectors may be subject to frequent review, written examinations, and supervision, and may perform regular inspector's duties as indicated by training progress; may perform owner and property records research, data input, report generation and field data collection. Assistant Inspectors in the Housing Department may post notices of inspection at multi-family properties and distribute pertinent information regarding housing related issues to the public. Assistant Inspectors in the Department of Public Works assist inspectors and receive training in the inspection of streets, sewers, storm drains, bridges and structures, and in the administration of public works contracts and permits; and may independently make inspections of a limited scope.",-,-,-,2.0,full time,-,-,"experience in any one of the following: Working in property management of multi-family residential properties, coordinating the maintenance and repairs",-,-,-,-,P,-,-,OPEN,"$44,996 to $47,502",-,11-13-15,Two years of full-time paid experience in any one of the following:,"Working in property management of multi-family residential properties, coordinating the maintenance and repairs; or",or
132,ASSISTANT INSPECTOR 4208 111315.txt,Assistant Inspector,4208,2,e,"An Assistant Inspector with the Department of Building and Safety or Housing Department assists inspectors and receives training in the inspection of buildings and structures, plumbing, heating and refrigeration, electrical installations, grading projects; or as an elevator or pressure vessel safety engineer. Assistant Inspectors may be subject to frequent review, written examinations, and supervision, and may perform regular inspector's duties as indicated by training progress; may perform owner and property records research, data input, report generation and field data collection. Assistant Inspectors in the Housing Department may post notices of inspection at multi-family properties and distribute pertinent information regarding housing related issues to the public. Assistant Inspectors in the Department of Public Works assist inspectors and receive training in the inspection of streets, sewers, storm drains, bridges and structures, and in the administration of public works contracts and permits; and may independently make inspections of a limited scope.",-,-,-,2.0,full time,-,-,"experience in any one of the following: Performing inspections for a private inspection service relating to construction, building, or housing",-,-,-,-,P,-,-,OPEN,"$44,996 to $47,502",-,11-13-15,Two years of full-time paid experience in any one of the following:,"Performing inspections for a private inspection service relating to construction, building, or housing: or",or
133,ASSISTANT INSPECTOR 4208 111315.txt,Assistant Inspector,4208,3,-,"An Assistant Inspector with the Department of Building and Safety or Housing Department assists inspectors and receives training in the inspection of buildings and structures, plumbing, heating and refrigeration, electrical installations, grading projects; or as an elevator or pressure vessel safety engineer. Assistant Inspectors may be subject to frequent review, written examinations, and supervision, and may perform regular inspector's duties as indicated by training progress; may perform owner and property records research, data input, report generation and field data collection. Assistant Inspectors in the Housing Department may post notices of inspection at multi-family properties and distribute pertinent information regarding housing related issues to the public. Assistant Inspectors in the Department of Public Works assist inspectors and receive training in the inspection of streets, sewers, storm drains, bridges and structures, and in the administration of public works contracts and permits; and may independently make inspections of a limited scope.",-,-,-,3.0,full time,-,-,-,-,-,-,-,P,-,-,OPEN,"$44,996 to $47,502",-,11-13-15,"Three years of full-time paid experience with the City of Los Angeles' Departments of Building and Safety, Housing, or Public Works, Bureau of Contract Administration, processing compliance orders, plans, permits, appeals, property research, certificates of occupancy, or City contracts.",-,-
134,ASSISTANT RETIREMENT PLAN MANAGER 9415 050616.txt,Assistant Retirement Plan Manager,9415,1,-,An Assistant Retirement Plan Manager assists a Retirement Plan Manager in directing and managing the daily activities of a retirement or pension system.,-,-,-,2.0,full time,Senior Management Analyst Ii,-,-,-,-,-,-,R,-,-,OPEN_INT_PROM,"$111,749 to $159,022","$151,902 to $188,713",05-06-16,"Two years of full-time paid professional experience in a position at the level of Senior Management Analyst II in institutional investing, administrative analysis, benefits administration, accounting, or personnel administration; or",-,or
135,ASSISTANT RETIREMENT PLAN MANAGER 9415 050616.txt,Assistant Retirement Plan Manager,9415,2,-,An Assistant Retirement Plan Manager assists a Retirement Plan Manager in directing and managing the daily activities of a retirement or pension system.,4.0,college or university,-,3.0,full time,-,-,"supervising administrative or professional staff engaged in retirement system benefits administration, institutional investing, or accounting for a public or private pension plan.",-,"24.0S,36.0Q","finance, accounting, or business administration",-,R,-,-,OPEN_INT_PROM,"$111,749 to $159,022","$151,902 to $188,713",05-06-16,"Graduation from an accredited four-year college or university with at least 24 semester or 36 quarter units completed in finance, accounting, or business administration; and three years of full-time paid professional experience supervising administrative or professional staff engaged in retirement system benefits administration, institutional investing, or accounting for a public or private pension plan.",-,-
136,ASSISTANT SIGNAL SYSTEMS ELECTRICIAN 3818 073115_REVISED.txt,Assistant Signal Systems Electrician,3818,1,-,"An Assistant Signal Systems Electrician assists a Signal Systems Electrician in installing, repairing, maintaining, and modifying electric and microprocessor based traffic signal control devices, and video and computer communication systems.",-,trade school|college,-,1.0,full time,-,-,-,-,"18.0S,24.0Q",electrical or electronics,-,P,B,-,OPEN_INT_PROM,"$70,094",-,07-31-15,One year of full-time paid experience as a helper in electrical or electronic work and successful completion of 18 semester or 24 quarter units in electrical or electronics from an accredited college or trade school; or,-,or
137,ASSISTANT SIGNAL SYSTEMS ELECTRICIAN 3818 073115_REVISED.txt,Assistant Signal Systems Electrician,3818,2,-,"An Assistant Signal Systems Electrician assists a Signal Systems Electrician in installing, repairing, maintaining, and modifying electric and microprocessor based traffic signal control devices, and video and computer communication systems.",-,trade school|college,-,2.0,full time,-,-,-,-,"9.0S,12.0Q",electrical or electronics,-,P,B,-,OPEN_INT_PROM,"$70,094",-,07-31-15,Two years of full-time paid experience as a helper in electrical or electronic work and successful completion of 9 semester units or 12 quarter units in electrical or electronics from an accredited college or trade school; or,-,or
138,ASSISTANT SIGNAL SYSTEMS ELECTRICIAN 3818 073115_REVISED.txt,Assistant Signal Systems Electrician,3818,3,-,"An Assistant Signal Systems Electrician assists a Signal Systems Electrician in installing, repairing, maintaining, and modifying electric and microprocessor based traffic signal control devices, and video and computer communication systems.",-,trade school|college,-,3.0,full time,-,-,-,-,"6.0S,8.0Q",electrical or electronics,-,P,B,-,OPEN_INT_PROM,"$70,094",-,07-31-15,Three years of full-time paid experience as a helper in electrical or electronic work and successful completion of 6 semester or 8 quarter units in electrical or electronics from an accredited college or trade school.,-,-
139,ASSISTANT STREET LIGHTING ELECTRICIAN 3809 072117 REV 080818.txt,Assistant Street Lighting Electrician,3809,1.,-,"An Assistant Street Lighting Electrician assists a Street Lighting Electrician in the construction, repair and maintenance of high and low voltage electrolier street lighting systems.",-,-,-,2.0,full time,-,-,"working in the construction, maintenance, and repair of street lighting circuitry.",-,-,-,-,R,B,-,OPEN_INT_PROM,"$73,466",-,07-21-17,"Two years of full-time paid experience working in the construction, maintenance, and repair of street lighting circuitry.",-,-
140,ASSISTANT TREE SURGEON 3150 012017.txt,Assistant Tree Surgeon,3150,1,-,An Assistant Tree Surgeon assists in tree trimming and removal work and performs a variety of unskilled tasks on the ground.,-,-,-,-,-,Vocational Worker,-,that assists in tree trimming and/or removal work,-,-,-,-,P,-,-,OPEN,"$35,746 to $52,241",-,01-20-17,Current employment as a Vocational Worker with the City of Los Angeles assigned to a position that assists in tree trimming and/or removal work; and,-,and
141,ASSISTANT TREE SURGEON 3150 012017.txt,Assistant Tree Surgeon,3150,2,-,An Assistant Tree Surgeon assists in tree trimming and removal work and performs a variety of unskilled tasks on the ground.,-,-,-,-,-,Assistant Tree Surgeon,-,-,-,-,-,-,P,-,-,OPEN,"$35,746 to $52,241",-,01-20-17,"A letter of recommendation from the personnel office of the employing department, which includes a statement of the department's willingness to hire the employee as an Assistant Tree Surgeon. The letter must be attached to the application at the time of filing.",-,-
142,ASSISTANT UTILITY BUYER 1860 051818.txt,Assistant Utility Buyer,1860,1,-,An Assistant Utility Buyer assists in purchasing or purchases a variety of commodities for use in the Department of Water and Power.,4.0,college or university,-,-,-,-,-,-,-,"24.0S,36.0Q","business administration, public administration, finance/accounting, supply chain management, or social sciences",-,P,-,-,OPEN,"$70,845 to $88,030",-,05-18-18,"Graduation from an accredited four-year college or university with 24 semester units or 36 quarter units in Business Administration, Public Administration, Finance/Accounting, Supply Chain Management, or social sciences; or",-,or
143,ASSISTANT UTILITY BUYER 1860 051818.txt,Assistant Utility Buyer,1860,2,-,An Assistant Utility Buyer assists in purchasing or purchases a variety of commodities for use in the Department of Water and Power.,4.0,college or university,-,1.0,full time,-,-,"experience in commodity purchasing for use rather than for resale and in preparing specifications, analyzing bids, conferring with vendors, and making recommendations for awards.",-,-,-,-,P,-,-,OPEN,"$70,845 to $88,030",-,05-18-18,"Graduation from an accredited four-year college or university and one year of full-time paid experience in commodity purchasing for use rather than for resale and in preparing specifications, analyzing bids, conferring with vendors, and making recommendations for awards.",-,-
144,ASSOCIATE ZONING ADMINISTRATOR 7998 102618 REV 110818.txt,Associate Zoning Administrator,7998,1,-,"Investigates, conducts hearings and makes written determinations upon applications for conditional uses, variances, division of land maps, coastal permits, Zoning Administrator Interpretations and appeals from zoning enforcement action; supervises, administers, represents and reviews the work of professional planners in making final decisions and determinations including Subdivisions, Parcel Maps, Environmental Review and the Entitlement Case Management Sections; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",-,-,-,2.0,full time,Senior City Planner,providing professional city planning or zoning administration experience;,-,-,-,-,-,P,-,-,INT_DEPT_PROM,"$116,928 to $170,986",-,10-26-18,Two years of full-time paid experience as a Senior City Planner or in a class at that level providing professional city planning or zoning administration experience; or,-,or
145,ASSOCIATE ZONING ADMINISTRATOR 7998 102618 REV 110818.txt,Associate Zoning Administrator,7998,2,-,"Investigates, conducts hearings and makes written determinations upon applications for conditional uses, variances, division of land maps, coastal permits, Zoning Administrator Interpretations and appeals from zoning enforcement action; supervises, administers, represents and reviews the work of professional planners in making final decisions and determinations including Subdivisions, Parcel Maps, Environmental Review and the Entitlement Case Management Sections; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",-,-,-,4.0,full time,City Planner,providing professional city planning or zoning administration experience;,-,-,-,-,-,P,-,-,INT_DEPT_PROM,"$116,928 to $170,986",-,10-26-18,Four years of full-time paid experience as a City Planner or in a class at that level providing professional city planning or zoning administration experience; or,-,or
146,ASSOCIATE ZONING ADMINISTRATOR 7998 102618 REV 110818.txt,Associate Zoning Administrator,7998,3,-,"Investigates, conducts hearings and makes written determinations upon applications for conditional uses, variances, division of land maps, coastal permits, Zoning Administrator Interpretations and appeals from zoning enforcement action; supervises, administers, represents and reviews the work of professional planners in making final decisions and determinations including Subdivisions, Parcel Maps, Environmental Review and the Entitlement Case Management Sections; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",-,-,-,6.0,full time,City Planning Associate,providing professional experience in the administration or implementation of city planning or zoning.,-,-,-,-,-,P,-,-,INT_DEPT_PROM,"$116,928 to $170,986",-,10-26-18,Six years of full-time paid experience as a City Planning Associate or in a class at that level providing professional experience in the administration or implementation of city planning or zoning.,-,-
